Agency,State,Total Agency Size (Bytes),Total Agency Size (GiB),Total Agency Size (GB),Total Agency Size (TiB),,,
ps.randolphcountync.gov,NC,5951905808288,5543.14424,5951.90581,5.41323,,,
coloradodoc.co.us,CO,5912859432771,5506.77947,5912.85943,5.37771,,,
petoskey.us,MI,5890881285566,5486.31073,5890.88129,5.35773,,,
moabcity.org,UT,5813019175590,5413.79598,5813.01918,5.28691,,,
cityofredding.org,California,5781190224576,5384.15296,5781.19022,5.25796,,,
springtownpd.com,TX,5714793027874,5322.31576,5714.79303,5.19757,,,
txkusa.org,AR,5660233091502,5271.50286,5660.23309,5.14795,,,
pd.shrewsburyma.gov,MA,5525761343715,5146.26628,5525.76134,5.02565,,,
codypd.net,WY,5499862984190,5122.14655,5499.86298,5.0021,,,
univofoklahamapdnorman.ok.us,OK,5423805421929,5051.31243,5423.80542,4.93292,,,
sapd.bexarmetro911,TX,5397911688857,5027.19701,5397.91169,4.90937,,,
arapahoesheriff,CO,5360829338215,4992.66138,5360.82934,4.87565,,,
outagamie.org,WI,5270452448047,4908.49134,5270.45245,4.79345,,,
ipso.la.gov,LA,5213896220835,4855.81925,5213.89622,4.74201,,,
natchitochesla.gov,LA,5118839759180,4767.29102,5118.83976,4.65556,,,
f7d8ea5ef41c978c4c0790438b42b569 (Agency not Matched),,5112845190162,4761.70815,5112.84519,4.65011,,,
ciscotexas.gov,TX,5086450831544,4737.12648,5086.45083,4.6261,,,
co.camden.ga.us,GA,5063822168310,4716.0519,5063.82217,4.60552,,,
amherstnh.gov,NH,5040037050814,4693.90028,5040.03705,4.58389,,,
colfaxwa.org,WA,5000385188103,4656.97161,5000.38519,4.54782,,,
ashtabulapolice.com,OH,4978704452907,4636.77985,4978.70445,4.52811,,,
msi.ccr.demo.a,Illinois,4724416377950,4399.95562,4724.41638,4.29683,,,
bcso.browncountytx.gov,TX,4707623346440,4384.3159,4707.62335,4.28156,,,
cityofwch.com,OH,4646506576506,4327.39647,4646.50658,4.22597,,,
middletownnj.org,NJ,4644262632576,4325.30663,4644.26263,4.22393,,,
carrollcountymd.gov,MD,4592480509307,4277.08077,4592.48051,4.17684,,,
caddosheriff.org,LA,4563574402958,4250.15986,4563.5744,4.15055,,,
boonesmillpd.va.us,VA,4518498964946,4208.18009,4518.49896,4.10955,,,
barrowcoso.ga.us,GA,4389946833896,4088.45659,4389.94683,3.99263,,,
sheriff.leecountyil.com,IL,4344914985866,4046.51741,4344.91499,3.95168,,,
bluffton.in.gov,IN,4251283911503,3959.31668,4251.28391,3.86652,,,
itascacosd.mn.us,MN,4245312602573,3953.75546,4245.3126,3.86109,,,
wahpeton.com,ND,4204905309010,3916.12324,4204.90531,3.82434,,,
sanjuancoso.co.us,CO,4142504117756,3858.0076,4142.50412,3.76759,,,
shavanoparkpd.tx.us,TX,4075492331229,3795.59801,4075.49233,3.70664,,,
pikecounty911.org,AL,4052598341887,3774.27632,4052.59834,3.68582,,,
central.azdps.gov,AZ,3945220620327,3674.27303,3945.22062,3.58816,,,
prodtest,Texas,3877540986296,3611.24145,3877.54099,3.5266,,,
chathampolice.com,NY,3871865558377,3605.9558,3871.86556,3.52144,,,
paramuspolice.org,NJ,3854405879792,3589.69521,3854.40588,3.50556,,,
uca.edu,AR,3851391562014,3586.88791,3851.39156,3.50282,,,
northplainfield-nj.gov,NJ,3827228706887,3564.38449,3827.22871,3.48084,,,
co.lake.mi.us,MI,3808901834997,3547.31626,3808.90183,3.46418,,,
scsmi.net,MI,3766073661197,3507.42942,3766.07366,3.42522,,,
leegov.com,FL,3753151280603,3495.39451,3753.15128,3.41347,,,
eaf13c3365f34452a47534c1ab8dd09b (Agency not Matched),,3748241352928,3490.82179,3748.24135,3.40901,,,
kauai.gov,,3738037653441,3481.31885,3738.03765,3.39973,,,
northcaldwell.org,NJ,3667380975897,3415.51469,3667.38098,3.33546,,,
cityofmarianna.com,FL,3647449819577,3396.95236,3647.44982,3.31734,,,
manateecountyecc,FL,3556322593385,3312.08351,3556.32259,3.23446,,,
sheriff.lincolncountywy.gov,WY,3550744324153,3306.88835,3550.74432,3.22938,,,
hendersonvillenc.gov,NC,3506604019080,3265.77948,3506.60402,3.18924,,,
valleyviewpd.tx.us,TX,3409027044632,3174.90384,3409.02704,3.10049,,,
mishawakapd,IN,3395499178672,3162.30504,3395.49918,3.08819,,,
colliersheriff.org,Florida,3357502477899,3126.91785,3357.50248,3.05363,,,
co.chippewa.wi.us,WI,3320960535802,3092.88552,3320.96054,3.0204,,,
owensboropd.ky.us,KY,3273938240945,3049.09259,3273.93824,2.97763,,,
lvmpd.com,NV,3262602301287,3038.53518,3262.6023,2.96732,,,
shivelyky.gov,KY,3197810161246,2978.19279,3197.81016,2.90839,,,
marionpd.oh.us,OH,3180303959246,2961.88887,3180.30396,2.89247,,,
svpd.com,NY,3094503520976,2881.98099,3094.50352,2.81443,,,
daviesscoso.in.us,Indiana,3086765794616,2874.77467,3086.76579,2.8074,,,
pscd.pd.mesaaz.gov,,3076733044365,2865.43094,3076.73304,2.79827,,,
sinclair.edu,OH,3048315064905,2838.96463,3048.31506,2.77243,,,
sedgwickcounty.kansas911.org,,3030355369661,2822.23836,3030.35537,2.75609,,,
ecc.a.montgomerycountymd.gov,MD,2994996740485,2789.30808,2994.99674,2.72393,,,
stlucieco.gov,FL,2955383487350,2752.41536,2955.38349,2.68791,,,
ftbdso.911.org,,2880209502508,2682.40413,2880.2095,2.61954,,,
springdale.org,OH,2877490426354,2679.87179,2877.49043,2.61706,,,
kalamapd.wa.us,WA,2871751743073,2674.52723,2871.75174,2.61184,,,
whitehall-oh.us,OH,2868560489587,2671.55514,2868.56049,2.60894,,,
eastlandcountytexas.gov,TX,2855344348533,2659.24665,2855.34435,2.59692,,,
vbgov.com,VA,2841213532925,2646.0863,2841.21353,2.58407,,,
pulaskicounty.in.gov,IN,2836716698024,2641.8983,2836.7167,2.57998,,,
orem.org,UT,2821478128131,2627.70627,2821.47813,2.56612,,,
co.morris.nj.us,NJ,2819658855255,2626.01194,2819.65886,2.56446,,,
oconomowocpd.wi.us,WI,2818294774516,2624.74155,2818.29477,2.56322,,,
campverde.az.gov,AZ,2807846117017,2615.01047,2807.84612,2.55372,,,
greensheriff.com,WI,2799729444894,2607.45123,2799.72944,2.54634,,,
tucson.sheriff.pima.gov,AZ,2794035068365,2602.14793,2794.03507,2.54116,,,
capecoral.911.org,FL,2741695411117,2553.40283,2741.69541,2.49356,,,
co.nacogdoches.tx.us,Texas,2738766923327,2550.67546,2738.76692,2.49089,,,
woodstownpd.org,NJ,2706075637935,2520.22933,2706.07564,2.46116,,,
burlingtonpd.wa.us,WA,2690070761924,2505.32363,2690.07076,2.44661,,,
morrowcoso.oh.us,OH,2688288559393,2503.66382,2688.28856,2.44498,,,
reagancosd.tx.us,TX,2647720052427,2465.88146,2647.72005,2.40809,,,
stowpd.oh.us,OH,2612777027174,2433.33823,2612.77703,2.37631,,,
clinton-county.org,MI,2609655181136,2430.43078,2609.65518,2.37347,,,
coffeycountysheriff.org,KS,2572407427662,2395.74111,2572.40743,2.33959,,,
westfargond.gov,ND,2548013945018,2373.02291,2548.01395,2.31741,,,
905usgovarizona11634485 (Agency not Matched),,2522702605745,2349.44989,2522.70261,2.29438,,,
fayette-co-oh.com,OH,2502477337875,2330.61364,2502.47734,2.27599,,,
carrollcountyda.gov,MD,2484384670090,2313.76353,2484.38467,2.25953,,,
robesoncoso.org,NC,2483528634409,2312.96628,2483.52863,2.25876,,,
kearnypd.az.us,AZ,2482898586397,2312.3795,2482.89859,2.25818,,,
websterpd.com,,2474164634554,2304.24538,2474.16463,2.25024,,,
ecc.co.ramsey.mn.us,Minnesota,2415909937550,2249.99146,2415.90994,2.19726,,,
fosstonpd.mn.us,MN,2387820248646,2223.8309,2387.82025,2.17171,,,
ecomms.ongov.net,New York,2361248492170,2199.08403,2361.24849,2.14754,,,
villageofsteger.org,IL,2349241149813,2187.90132,2349.24115,2.13662,,,
ci.greenville.tx.us,TX,2303490873905,2145.29305,2303.49087,2.09501,,,
pd.ellsworthmaine.gov,ME,2275143724166,2118.89271,2275.14372,2.06923,,,
bayvillagepd.cuyahogacounty.us,,2248580360995,2094.15365,2248.58036,2.04507,,,
venturacocdpd.ca.us,CA,2236575358745,2082.97312,2236.57536,2.03415,,,
loganutah.org,UT,2223610962016,2070.89909,2223.61096,2.02236,,,
sheriffcitrus.org,FL,2216892576943,2064.6421,2216.89258,2.01625,,,
middletwppd.nj.us,NJ,2207580979562,2055.97,2207.58098,2.00778,,,
djj.georgia.gov,GA,2190373587503,2039.94437,2190.37359,1.99213,,,
so.sheriffleefl.org,FL,2189235779904,2038.8847,2189.23578,1.9911,,,
livingstonnj.org,NJ,2162923766214,2014.37973,2162.92377,1.96717,,,
carlsbadca.gov,CA,2161793207967,2013.32682,2161.79321,1.96614,,,
princetonpolice.com,MN,2125932595358,1979.92902,2125.9326,1.93352,,,
marlboropd.org,NJ,2124322233101,1978.42925,2124.32223,1.93206,,,
rc-sheriff.com,TX,2108044604528,1963.26953,2108.0446,1.91726,,,
